中国🇨🇳湾湾,#genre#
CCTV9,http://127.0.0.1:35456/itv/6000000001000032162.m3u8?cdn=wasusyt$itv-50-FPS
CCTV9,http://127.0.0.1:35456/itv/1000000005000265009.m3u8?cdn=ystenlive$itv-HEVC
CCTV9,http://127.0.0.1:35456/itv/1000000001000014583.m3u8?cdn=ystenlive$itv
CCTV10,http://127.0.0.1:35456/gaoma/cctv10.m3u8$高码
CCTV10,http://127.0.0.1:35456/itv/5000000004000012827.m3u8?cdn=bestzb$itv-50-FPS
CCTV10,http://127.0.0.1:35456/itv/1000000005000265010.m3u8?cdn=ystenlive$itv-HEVC
CCTV10,http://127.0.0.1:35456/itv/1000000001000023734.m3u8?cdn=ystenlive$itv
CCTV11,http://127.0.0.1:35456/gaoma/cctv11.m3u8$高码
CCTV11,http://127.0.0.1:35456/itv/5000000011000031106.m3u8?cdn=bestzb$itv-50-FPS
CCTV11,http://127.0.0.1:35456/itv/1000000005000265011.m3u8?cdn=ystenlive$itv-HEVC
CCTV12,http://127.0.0.1:35456/gaoma/cctv12.m3u8$高码
CCTV12,http://127.0.0.1:35456/itv/6000000001000022586.m3u8?cdn=wasusyt$itv-50-FPS
CCTV12,http://127.0.0.1:35456/itv/1000000005000265012.m3u8?cdn=ystenlive$itv-HEVC
CCTV12,http://127.0.0.1:35456/itv/1000000001000032494.m3u8?cdn=ystenlive$itv
CCTV13,http://127.0.0.1:35456/gaoma/cctv13.m3u8$高码
CCTV13,http://127.0.0.1:35456/itv/5000000011000031108.m3u8?cdn=bestzb$itv-50-FPS
CCTV14,http://127.0.0.1:35456/gaoma/cctv14.m3u8$高码
CCTV14,http://127.0.0.1:35456/itv/5000000004000006673.m3u8?cdn=bestzb$itv-50-FPS
CCTV14,http://127.0.0.1:35456/itv/1000000005000265013.m3u8?cdn=ystenlive$itv-HEVC
CCTV14,http://127.0.0.1:35456/itv/1000000001000008170.m3u8?cdn=ystenlive$itv
CCTV15,http://127.0.0.1:35456/gaoma/cctv15.m3u8$高码
CCTV15,http://127.0.0.1:35456/itv/5000000011000031109.m3u8?cdn=bestzb$itv-50-FPS
CCTV15,http://127.0.0.1:35456/itv/1000000005000265014.m3u8?cdn=ystenlive$itv-HEVC
CCTV16,http://127.0.0.1:35456/gaoma/cctv16.m3u8$高码
CCTV16,http://127.0.0.1:35456/itv/1000000006000233002.m3u8?cdn=ystenlive$itv
CCTV17,http://127.0.0.1:35456/gaoma/cctv17.m3u8$高码
CCTV17,http://127.0.0.1:35456/itv/1000000005000265015.m3u8?cdn=ystenlive$itv-HEVC
CCTV17,http://127.0.0.1:35456/itv/1000000006000268004.m3u8?cdn=ystenlive$itv
卫视🇨🇳频道,#genre#
北京卫视,http://192.168.31.2:8615/itv/1000000001000021288/ystenlive$8M1080_易视腾
北京卫视,http://192.168.31.2:8615/itv/5000000004000031556/bestzb$7.5M1080_百视通
北京卫视,http://127.0.0.1:35456/itv/1000000005000265027.m3u8?cdn=ystenlive$itv-HEVC
北京卫视,http://127.0.0.1:35456/itv/6000000001000020451.m3u8?cdn=wasusyt$itv
东方卫视,http://127.0.0.1:35456/itv/5000000004000014098.m3u8?cdn=bestzb$itv-50-FPS
东方卫视,http://127.0.0.1:35456/itv/1000000005000265018.m3u8?cdn=ystenlive$itv-HEVC
东方卫视,http://127.0.0.1:35456/itv/6000000001000003639.m3u8?cdn=wasusyt$itv
湖南卫视,http://127.0.0.1:35456/itv/6000000001000018044.m3u8?cdn=wasusyt$itv-50-FPS
湖南卫视,http://127.0.0.1:35456/itv/1000000005000265024.m3u8?cdn=ystenlive$itv-HEVC
湖南卫视,http://127.0.0.1:35456/itv/5000000004000006692.m3u8?cdn=bestzb$itv
浙江卫视,http://127.0.0.1:35456/itv/5000000004000007275.m3u8?cdn=bestzb$itv-50-FPS
浙江卫视,http://127.0.0.1:35456/itv/1000000005000265031.m3u8?cdn=ystenlive$itv-HEVC
浙江卫视,http://127.0.0.1:35456/itv/1000000001000014260.m3u8?cdn=ystenlive$itv
江苏卫视,http://127.0.0.1:35456/itv/6000000001000014861.m3u8?cdn=wasusyt$itv-50-FPS
江苏卫视,http://127.0.0.1:35456/itv/1000000005000265030.m3u8?cdn=ystenlive$itv-HEVC
江苏卫视,http://127.0.0.1:35456/itv/1000000001000001828.m3u8?cdn=ystenlive$itv
河北卫视,http://127.0.0.1:35456/itv/5000000006000040016.m3u8?cdn=bestzb$itv
天津卫视,http://127.0.0.1:35456/itv/6000000001000009186.m3u8?cdn=wasusyt$itv-50-FPS
天津卫视,http://127.0.0.1:35456/itv/1000000005000265026.m3u8?cdn=ystenlive$itv-HEVC
天津卫视,http://127.0.0.1:35456/itv/5000000004000006827.m3u8?cdn=bestzb$itv
深圳卫视,http://127.0.0.1:35456/itv/6000000001000002116.m3u8?cdn=wasusyt$itv-50-FPS
深圳卫视,http://127.0.0.1:35456/itv/1000000005000265028.m3u8?cdn=ystenlive$itv-HEVC
深圳卫视,http://127.0.0.1:35456/itv/5000000004000007410.m3u8?cdn=bestzb$itv
广东卫视,http://127.0.0.1:35456/itv/6000000001000031076.m3u8?cdn=wasusyt$itv-50-FPS
广东卫视,http://127.0.0.1:35456/itv/1000000005000265034.m3u8?cdn=ystenlive$itv-HEVC
广东卫视,http://127.0.0.1:35456/itv/1000000001000014176.m3u8?cdn=ystenlive$itv
山东卫视,http://127.0.0.1:35456/itv/6000000001000004134.m3u8?cdn=wasusyt$itv-50-FPS
山东卫视,http://127.0.0.1:35456/itv/1000000005000265019.m3u8?cdn=ystenlive$itv-HEVC
山东卫视,http://127.0.0.1:35456/itv/1000000001000016568.m3u8?cdn=ystenlive$itv
黑龙江卫视,http://127.0.0.1:35456/itv/6000000001000016510.m3u8?cdn=wasusyt$itv-50-FPS
黑龙江卫视,http://127.0.0.1:35456/itv/1000000005000265029.m3u8?cdn=ystenlive$itv-HEVC
黑龙江卫视,http://127.0.0.1:35456/itv/1000000001000001925.m3u8?cdn=ystenlive$itv
吉林卫视,http://127.0.0.1:35456/itv/5000000011000031117.m3u8?cdn=bestzb$itv
辽宁卫视,http://127.0.0.1:35456/itv/1000000005000265022.m3u8?cdn=ystenlive$itv-HEVC
辽宁卫视,http://127.0.0.1:35456/itv/5000000004000011671.m3u8?cdn=bestzb$itv
